Filename;Filetype;DTX_VERSION;Width;Height;Mipmaps Used;DTX Flags;DTX_PREFER4444;DTX_NOSYSCACHE;DTX_SECTIONSFIXED;DTX_MIPSALLOCED;DTX_PREFER16BIT;DTX_FULLBRITE;DTX_LUMBUMPMAP;DTX_BUMPMAP;DTX_CUBEMAP;DTX_32BITSYSCOPY;DTX_PREFER5551;Unknown;Surface Flag;Texture Group;BPP;Non S3TC Offset;UI Mipmap Offset;Texture Priority;Detail Scale;Detail Angle;Command String;Light String
PROPS\SKINS\TREE_07.DTX;0;DTX_VERSION_LT2;256;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_8P;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_07S.DTX;0;DTX_VERSION_LT2;256;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_8P;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_07ST.DTX;0;DTX_VERSION_LT2;128;512;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_8P;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_07T.DTX;0;DTX_VERSION_LT2;128;512;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_S3TC_DXT5;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_08A.DTX;0;DTX_VERSION_LT2;512;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_32;0;1;0;0.0;0;alpharef 96;
PROPS\SKINS\TREE_08B.DTX;0;DTX_VERSION_LT2;512;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_32;0;1;0;0.0;0;alpharef 96;
PROPS\SKINS\TREE_08C.DTX;0;DTX_VERSION_LT2;512;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_32;0;1;0;0.0;0;alpharef 96;
PROPS\SKINS\TREE_08S.DTX;0;DTX_VERSION_LT2;512;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_32;0;1;0;0.0;0;alpharef 96;
PROPS\SKINS\TREE_08ST.DTX;0;DTX_VERSION_LT2;128;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_8P;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_08T.DTX;0;DTX_VERSION_LT2;128;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_8P;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_09A.DTX;0;DTX_VERSION_LT2;512;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_32;0;1;0;0.0;0;alpharef 96;
PROPS\SKINS\TREE_09B.DTX;0;DTX_VERSION_LT2;512;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_8P;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_09C.DTX;0;DTX_VERSION_LT2;512;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_8P;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_09SA.DTX;0;DTX_VERSION_LT2;512;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;30;4;BPP_32;0;1;0;0.0;0;alpharef 96;
PROPS\SKINS\TREE_09SB.DTX;0;DTX_VERSION_LT2;512;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_8P;1;1;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_10A.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_32;0;0;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_10B.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_32;0;0;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_10S.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;73;4;BPP_32;0;0;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TREE_11A.DTX;0;DTX_VERSION_LT2;512;256;2;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_32;0;0;0;0.0;0;AlphaRef 96;
PROPS\SKINS\TRUCKMIRROR.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\TRUCKSTEERING.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;9;3;BPP_32;1;0;0;0.0;0;alpharef 96;
PROPS\SKINS\TRUCKTIRE.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;70;4;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\TUSK.DTX;0;DTX_VERSION_LT2;256;256;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;0;4;BPP_S3TC_DXT1;0;0;0;0.0;0;;
PROPS\SKINS\TYPEWRITER_01A.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;8;4;BPP_8P;0;0;0;0.0;0;alpharef 96;
PROPS\SKINS\TYPEWRITER_01B.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;8;4;BPP_8P;0;0;0;0.0;0;alpharef 96;
PROPS\SKINS\UMBRELLA.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000001;;;DTX_SECTIONSFIXED ;;;;;;;;DTX_PREFER5551 ;0;0;4;BPP_S3TC_DXT1;0;0;0;0.0;0;;
PROPS\SKINS\VALVE_B.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\VALVE_G.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\VALVE_O.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\VALVE_R.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\VALVE_Y.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\VASE_02.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;40;4;BPP_8P;1;1;0;0.0;0;;
PROPS\SKINS\VASE_02B.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;40;4;BPP_8P;1;1;0;0.0;0;;
PROPS\SKINS\VASE_02C.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;40;4;BPP_8P;1;1;0;0.0;0;;
PROPS\SKINS\VASE_03.DTX;0;DTX_VERSION_LT2;256;256;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;40;4;BPP_8P;1;1;0;0.0;0;;
PROPS\SKINS\VENT.DTX;0;DTX_VERSION_LT2;64;64;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;20;4;BPP_8P;0;0;0;0.0;0;;
PROPS\SKINS\WATERMELON.DTX;0;DTX_VERSION_LT2;128;128;4;'0000100000000000;;;DTX_SECTIONSFIXED ;;;;;;;;;0;80;4;BPP_32;0;0;0;0.0;0;;
PROPS\SKINS\WINEBOTTLE_01.DTX;0;DTX_VERSION_LT2;128;128;4;'1000100000000000;DTX_PREFER4444 ;;DTX_SECTIONSFIXED ;;;;;;;;;0;40;4;BPP_8P;0;0;0;0.0;0;;
